puzzle_index,agent_move_index,fen,rating,themes,expected_move_uci,legal_move_count,reference_top_move_uci,candidate_top_move_uci,top1_agreement,reference_correct,candidate_correct,reference_entropy,candidate_entropy,entropy_delta,reference_correct_probability,candidate_correct_probability,correct_probability_delta,kl_reference_to_candidate,js_divergence
0,0,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,1286,crushing kingsideAttack master middlegame pin short,f5g3,40,h3g3,h3g3,1,0,0,1.491092710795157,1.431628317830363,-0.059464392964794,0.17333189092281096,0.17515005756336632,0.0018181666405553687,0.0019968532620217097,0.0004922581533487995
0,1,6rk/pp6/2n5/3pp2p/3p4/2P2PQq/PP4NB/R5RK b - - 0 30,1286,crushing kingsideAttack master middlegame pin short,g8g3,34,g8g3,g8g3,1,1,1,0.6828933514970676,0.6854813579704583,0.002588006473390636,0.5956249777105059,0.5858478266849814,-0.009777151025524566,0.00021389491496869145,5.340073008297781e-05
1,0,8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c3c2,6,c3c2,c3c2,1,1,1,0.37599880200298885,0.3787424992128054,0.0027436972098165424,0.9169896994771571,0.9162666205858191,-0.000723078891338047,0.0001300885090715232,3.2862698818436316e-05
1,1,8/7R/5p2/p7/7P/8/K1pk2N1/8 b - - 1 49,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c2c1q,11,c2c1q,c2c1q,1,1,1,1.0466219067026048,1.0127058154173607,-0.03391609128524409,0.4577911988365131,0.47327868874589274,0.015487489909379648,0.0011569295922495304,0.00028316485224800256
1,2,8/3R4/5p2/p7/7P/8/K2k2N1/2q5 b - - 1 50,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,d2e2,3,d2c2,d2c2,1,0,0,0.5143170090422434,0.6175926193317941,0.10327561028955068,0.04733920771868218,0.05675392893908547,0.009414721220403294,0.008678895140703781,0.002257446578950849
2,0,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c6b4,43,d3c3,d3c3,1,0,0,0.8199389187115658,0.8533781337635655,0.03343921505199976,0.002063656669803808,0.0022693487465422976,0.00020569207673848964,0.0032588160561832155,0.0008353252465434649
2,1,1r6/pp2kppQ/4p1n1/3p2P1/1P3P2/3qP3/PP1N4/2KR3R b - - 0 28,1957,long mate mateIn3 middlegame queensideAttack sacrifice,b8c8,40,b8c8,b8c8,1,1,1,1.352299616902509,1.3237507770811519,-0.02854883982135714,0.5291237533404601,0.5358439630747418,0.006720209734281668,0.0016245650446367905,0.00039929178333604314
2,2,2r5/pp2kppQ/4p1n1/3p2P1/1PN2P2/3qP3/PP6/2KR3R b - - 2 29,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c8c4,43,c8c4,c8c4,1,1,1,0.5332789577001109,0.5012751073768443,-0.03200385032326658,0.8778220389713793,0.8855292468651066,0.007707207893727253,0.0006236442644394773,0.00015125810395458337
3,0,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,976,endgame mate mateIn2 short,c7c8,26,c7c8,c7c8,1,1,1,0.4520375465097245,0.4376184931331475,-0.014419053376577007,0.9175983567878505,0.9213741016638206,0.0037757448759700996,0.00039592834706214794,9.748773200866652e-05
3,1,2R1r1k1/6pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 w - - 6 34,976,endgame mate mateIn2 short,c8e8,26,c8e8,c8e8,1,1,1,9.392319173368035e-05,7.586126751668175e-05,-1.8061924216998602e-05,0.9999934286322686,0.9999947670714173,1.3384391487347713e-06,1.6334694456177345e-07,3.9149909238569335e-08
4,0,2k1r3/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPPR4/2K3NR b - - 0 18,1511,backRankMate deflection long mate mateIn3 middlegame,e8e1,39,e8e1,e8e1,1,1,1,0.0861051974791863,0.08720419268797563,0.0010989952087893384,0.9848320923492025,0.9844694685255718,-0.00036262382363072554,1.8282170569290028e-05,4.529816980725559e-06
4,1,2k5/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPP5/2KRr1NR b - - 2 19,1511,backRankMate deflection long mate mateIn3 middlegame,d6f4,38,d6f4,d6f4,1,1,1,0.09536749055034567,0.08509640484726784,-0.010271085703077831,0.9856200251289975,0.9874856878500582,0.0018656627210607013,0.00023370951820987515,5.6256929881907705e-05
4,2,2k5/pppn1pp1/6b1/3B2Pp/5b2/3P3P/PPP5/1K1Rr1NR b - - 1 20,1511,backRankMate deflection long mate mateIn3 middlegame,e1d1,39,e1d1,e1d1,1,1,1,0.05997995393262148,0.04839741399823972,-0.011582539934381762,0.9925057370104683,0.9940238105919854,0.001518073581517121,0.00023188339335626523,5.451727828601877e-05
5,0,rn2kbnr/pp6/2p2p2/4P3/4P1pq/2N3N1/PPPB1KB1/R2Q1R2 b kq - 2 17,1067,advantage attraction exposedKing long middlegame,f8c5,33,h4g3,h4g3,1,0,0,0.7730743337433154,0.6897721512566075,-0.08330218248670784,0.07886585527096159,0.06381535342095024,-0.015050501850011347,0.004332995196038842,0.0010486707469252788
5,1,rn2k1nr/pp6/2p2p2/2b1P3/4P1pq/2N1B1N1/PPP2KB1/R2Q1R2 b kq - 4 18,1067,advantage attraction exposedKing long middlegame,c5e3,32,h4g3,h4g3,1,0,0,0.09991899919396835,0.08991236084767121,-0.010006638346297142,0.007753881653974901,0.008327724020748916,0.0005738423667740154,0.0005157914379941583,0.00012043599817861075
5,2,rn2k1nr/pp6/2p2p2/4P3/4P1pq/2N1K1N1/PPP3B1/R2Q1R2 b kq - 0 19,1067,advantage attraction exposedKing long middlegame,h4g3,25,h4g3,h4g3,1,1,1,0.46798766548145987,0.39569255510673645,-0.07229511037472341,0.8502657178494682,0.888331496434872,0.03806577858540372,0.007533394246919207,0.0017932586200824754
6,0,5rk1/5ppp/4b3/1p1pPpPP/2pP4/b1P5/rqNQKP2/2RRN3 w - - 6 24,1693,advantage middlegame short trappedPiece,c1b1,19,c1b1,c1b1,1,1,1,0.8902839462113054,0.8529925946226481,-0.03729135158865726,0.712085451444495,0.7262181354665921,0.014132684022097108,0.0018241660104072084,0.000431003254911608
6,1,5rk1/5ppp/4b3/1p1pPpPP/2pP4/bqP5/r1NQKP2/1R1RN3 w - - 8 25,1693,advantage middlegame short trappedPiece,b1b3,23,b1b3,b1b3,1,1,1,0.6091578195992047,0.6072863677208673,-0.0018714518783373713,0.8508424952232478,0.8494663852378597,-0.0013761099853881742,0.0007708693880080471,0.0001886381308782559
7,0,r3r1k1/p2Q1p1p/1p2p1p1/8/1P1P4/P3P3/1B2Nb1q/2KR3R b - - 1 19,1548,advantage discoveredAttack middlegame short,f2e3,38,f2e3,f2e3,1,1,1,0.6089160716768754,0.6389678128491257,0.03005174117225029,0.8647278195774535,0.8573188833557366,-0.0074089362217169,0.00040954027390213157,0.00010439437288365188
7,1,r3r1k1/p2Q1p1p/1p2p1p1/8/1P1P4/P3b3/1B2N2q/1K1R3R b - - 1 20,1548,advantage discoveredAttack middlegame short,h2e2,43,h2e2,h2e2,1,1,1,1.6273723336337538,1.5068789366423447,-0.12049339699140904,0.5538674355719478,0.6030082118730516,0.049140776301103806,0.005998920338562527,0.0014789276218372751
8,0,3r4/p5k1/1p1qpr1p/1Q1pn1p1/3P1pP1/1PP5/P5PP/4RRK1 w - - 0 30,1316,crushing fork long middlegame,d4e5,34,d4e5,d4e5,1,1,1,0.41847594279475653,0.4246937243652037,0.006217781570447167,0.8655744664748256,0.8624571689007215,-0.003117297574104061,5.429161667459302e-05,1.3575481226583177e-05
8,1,3r4/p5k1/1p2pr1p/1QqpP1p1/5pP1/1PP5/P5PP/4RRK1 w - - 1 31,1316,crushing fork long middlegame,b5c5,4,b5c5,b5c5,1,1,1,0.014843531538021688,0.013486902685410957,-0.0013566288526107306,0.9979664108933793,0.9981765234714762,0.00021011257809688821,1.2128276117947439e-05,2.9696036117958798e-06
8,2,3r4/p5k1/4pr1p/2ppP1p1/5pP1/1PP5/P5PP/4RRK1 w - - 0 32,1316,crushing fork long middlegame,e5f6,20,e5f6,e5f6,1,1,1,0.0007813712975617564,0.000768143438411026,-1.3227859150730364e-05,0.9999372937562979,0.9999375163850862,2.226287882933775e-07,1.061569148793677e-06,2.636696232767965e-07
9,0,8/1P6/8/7p/3P4/3k1p1P/4p3/4K3 b - - 1 49,1828,advancedPawn endgame mate mateIn2 pawnEndgame short,d3e3,8,f3f2,f3f2,1,0,0,0.43050124630115616,0.4403679445625558,0.009866698261399631,0.03839202582398746,0.039176542247628746,0.0007845164236412877,5.840817211711128e-05,1.4683774412097879e-05
9,1,8/1P6/8/7p/3P3P/4kp2/4p3/4K3 b - - 0 50,1828,advancedPawn endgame mate mateIn2 pawnEndgame short,f3f2,5,f3f2,f3f2,1,1,1,0.008929567516077916,0.009070841494495973,0.00014127397841805743,0.9989132550780808,0.9988982344288206,-1.5020649260177876e-05,9.055933712630936e-07,2.3102113438091177e-07
10,0,8/2kn1p2/8/3P4/R7/2PKN3/1r6/8 b - - 14 70,994,advantage endgame fork short,d7c5,28,d7c5,d7c5,1,1,1,0.4626730089494392,0.5314534496088492,0.06878044065941002,0.842239172645637,0.7983132338360094,-0.043925938809627585,0.006476320927919244,0.00167067573666509
10,1,8/2k2p2/8/2nP4/R2K4/2P1N3/1r6/8 b - - 16 71,994,advantage endgame fork short,c5a4,31,c5a4,c5a4,1,1,1,0.754465926213274,0.703184987537846,-0.051280938675428045,0.8413305777464455,0.858157523624385,0.016826945877939536,0.001888292566650727,0.0004589201952360228
11,0,3r1q2/5prk/p3pQpp/1p2P3/2p4R/2P2P1P/PPB2P2/6K1 w - - 3 30,1781,clearance crushing endgame short,h4h6,33,h4h6,h4h6,1,1,1,0.8140400618998034,0.8268271496572099,0.012787087757406557,0.7470085710955912,0.7102080780792122,-0.036800493016379,0.006563262166909133,0.0016714783528329006
11,1,3r1qk1/5pr1/p3pQpR/1p2P3/2p5/2P2P1P/PPB2P2/6K1 w - - 1 31,1781,clearance crushing endgame short,f6h4,33,h6h8,h6h8,1,0,0,0.015686599994555895,0.016296367141747942,0.0006097671471920474,6.326979659991315e-06,4.383242145124052e-06,-1.9437375148672627e-06,1.7196897303661498e-05,4.330851913959577e-06
12,0,r5k1/pp2q1p1/2p1p2p/3nP1pP/3P2P1/2PQ1r2/PPB5/R5K1 w - - 0 24,1454,kingsideAttack long mate mateIn3 middlegame,d3h7,30,d3h7,d3h7,1,1,1,0.16858775746337215,0.1554821082533082,-0.013105649210063963,0.9676393704766194,0.970863888558169,0.0032245180815495544,0.00024057465466583924,5.8644541829637855e-05
12,1,r7/pp2qkpQ/2p1p2p/3nP1pP/3P2P1/2P2r2/PPB5/R5K1 w - - 2 25,1454,kingsideAttack long mate mateIn3 middlegame,c2g6,29,c2g6,c2g6,1,1,1,0.21458641706016132,0.20717120150566895,-0.0074152155544923715,0.9449099174030929,0.9473866889106679,0.0024767715075749708,6.609391225824024e-05,1.6304006791449854e-05
12,2,r4k2/pp2q1pQ/2p1p1Bp/3nP1pP/3P2P1/2P2r2/PP6/R5K1 w - - 4 26,1454,kingsideAttack long mate mateIn3 middlegame,h7h8,24,h7h8,h7h8,1,1,1,0.003080184770932655,0.0025347344098567435,-0.0005454503610759116,0.9997144420738014,0.9997695650411683,5.5122967366871833e-05,7.17663369399167e-06,1.7096093916463789e-06
13,0,r1b1k1nr/pp2p2p/2q1Npp1/2n1p3/2B5/2N3B1/PPPR1PPP/2K4R w kq - 0 15,1990,mate mateIn2 middlegame short,d2d8,47,d2d8,d2d8,1,1,1,0.9733377368255063,0.7738817741832527,-0.19945596264225363,0.6688768421675663,0.7797685180438209,0.11089167587625459,0.03460092738717769,0.008184192012316049
13,1,r1bR2nr/pp2pk1p/2q1Npp1/2n1p3/2B5/2N3B1/PPP2PPP/2K4R w - - 2 16,1990,mate mateIn2 middlegame short,d8f8,50,d8f8,d8f8,1,1,1,1.3148870608596708,1.3223769795515674,0.007489918691896635,0.6181839095421267,0.5566225431967958,-0.061561366345330826,0.02070832326546599,0.005254735225676842
14,0,Q7/8/8/5k2/8/5pr1/5r2/R6K b - - 0 50,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame,g3h3,23,f2h2,f2h2,1,0,0,1.2151218528793335,1.2303052986340894,0.015183445754755942,0.05622635447454126,0.05110400657440652,-0.005122347900134737,0.0016104893687273573,0.0004088610333787086
14,1,Q7/8/8/5k2/8/5p1r/5r2/R5K1 b - - 2 51,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame,f2g2,23,f2g2,f2g2,1,1,1,0.7726223100087714,0.8557382514954281,0.0831159414866568,0.7883503582926883,0.754296906320223,-0.03405345197246534,0.0038447918893955027,0.0009864928749876638
14,2,Q7/8/8/5k2/8/5p1r/6r1/R4K2 b - - 4 52,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame,h3h1,30,h3h1,h3h1,1,1,1,0.7244421948681014,0.7449614603817135,0.02051926551361216,0.7167147007647809,0.6970976539235213,-0.019617046841259644,0.0010811560834809806,0.00027188473116625554
15,0,4R3/1p4k1/1q3bpp/3B4/4Np1P/p4P2/3RK1P1/8 b - - 5 42,1975,crushing endgame fork master short,b6b5,31,b6b5,b6b5,1,1,1,1.1717034922493932,1.1580884430479608,-0.013615049201432416,0.4873303572709453,0.5552414421800669,0.06791108490912157,0.011863377326819836,0.0029314365839470504
15,1,4R3/1p4k1/5bpp/1q1B4/4Np1P/p2R1P2/4K1P1/8 b - - 7 43,1975,crushing endgame fork master short,b5e8,29,b5e8,b5e8,1,1,1,0.22226879721553525,0.17671743220352795,-0.045551365012007294,0.9563995662728265,0.9666570398337916,0.010257473560965069,0.0016969150143317244,0.0003993923484926677
16,0,4rk2/pbp2pp1/1p1N4/3P1q2/QPBP4/1KP2P2/P5r1/R3R3 b - - 0 25,1225,mate mateIn2 middlegame short,f5c2,56,c7d6,c7d6,1,0,0,2.463790491542409,2.41182782276231,-0.05196266878009892,0.0030982460103977233,0.002640890508506292,-0.0004573555018914312,0.0032273510778396616,0.0008075421499263912
16,1,4rk2/pbp2pp1/1p1N4/3P4/QPBP4/K1P2P2/P1q3r1/R3R3 b - - 2 26,1225,mate mateIn2 middlegame short,c2b2,52,c2a4,c2a4,1,0,0,1.4637848745954507,1.3614954216983777,-0.10228945289707303,0.04079429236649065,0.030818451353751258,-0.009975841012739396,0.004020574738497121,0.0009693521390669804
17,0,r4k2/8/2p3Bb/4p1R1/3q4/PQ6/2K2P2/1N6 b - - 0 30,1689,advantage intermezzo long middlegame,d4f2,37,d4f2,d4f2,1,1,1,1.5539104578862561,1.58393808527084,0.030027627384583866,0.44657823981160394,0.43416372369657724,-0.012414516115026697,0.0011045538704971877,0.000280161522254047
17,1,r4k2/8/2p3Bb/4p1R1/8/PQ6/2KN1q2/8 b - - 1 31,1689,advantage intermezzo long middlegame,h6g5,34,h6g5,h6g5,1,1,1,2.267487267927177,2.246135141751009,-0.021352126176167996,0.2306968085831905,0.23956077184254349,0.008863963259352986,0.0032731708111822756,0.0008073149691084319
17,2,r4k2/8/2p3B1/4p1b1/8/P4Q2/2KN1q2/8 b - - 1 32,1689,advantage intermezzo long middlegame,f2f3,6,f2f3,f2f3,1,1,1,0.06102067335675511,0.053458246355824586,-0.007562427000930523,0.9900922300823417,0.9916296126090444,0.0015373825267026575,0.00015149719250160982,3.668608219254186e-05
18,0,r3r1k1/ppp2ppp/2nnq3/8/3P4/P1P1P1P1/2Q3BP/R1B1KR2 w Q - 5 17,1362,crushing fork middlegame short,d4d5,43,d4d5,d4d5,1,1,1,0.407071996855805,0.38801077310132126,-0.019061223754483714,0.9052839413354862,0.9116776685172097,0.006393727181723485,0.00043536058943309877,0.00010721151408047509
