puzzle_index,agent_move_index,fen,rating,themes,expected_move_uci,legal_move_count,reference_top_move_uci,candidate_top_move_uci,top1_agreement,reference_correct,candidate_correct,reference_entropy,candidate_entropy,entropy_delta,reference_correct_probability,candidate_correct_probability,correct_probability_delta,kl_reference_to_candidate,js_divergence
0,0,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,1286,crushing kingsideAttack master middlegame pin short,f5g3,40,h3g3,h3g3,1,0,0,1.491092710795157,1.5251330890787473,0.0340403782835903,0.17333189092281096,0.17280017947189796,-0.0005317114509129917,0.000870144086974728,0.00022059999798384555
0,1,6rk/pp6/2n5/3pp2p/3p4/2P2PQq/PP4NB/R5RK b - - 0 30,1286,crushing kingsideAttack master middlegame pin short,g8g3,34,g8g3,g8g3,1,1,1,0.6828933514970676,0.685463246779519,0.002569895282451329,0.5956249777105059,0.5860272365549918,-0.00959774115551415,0.00020289275399185605,5.0705994512941505e-05
1,0,8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c3c2,6,c3c2,c3c2,1,1,1,0.37599880200298885,0.38838715551311864,0.01238835351012979,0.9169896994771571,0.911950544758756,-0.0050391547184011065,0.0004107680316042467,0.0001044601051856549
1,1,8/7R/5p2/p7/7P/8/K1pk2N1/8 b - - 1 49,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c2c1q,11,c2c1q,c2c1q,1,1,1,1.0466219067026048,1.059651721156595,0.013029814453990207,0.4577911988365131,0.4727233305174662,0.014932131680953087,0.0009734502664813169,0.00024404904852876226
1,2,8/3R4/5p2/p7/7P/8/K2k2N1/2q5 b - - 1 50,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,d2e2,3,d2c2,d2c2,1,0,0,0.5143170090422434,0.49074173522195297,-0.023575273820290454,0.04733920771868218,0.049361779686623274,0.002022571967941096,0.0010798315949382686,0.0002643604453223783
2,0,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c6b4,43,d3c3,d3c3,1,0,0,0.8199389187115658,0.7621706085412854,-0.05776831017028039,0.002063656669803808,0.001954740086010959,-0.00010891658379284883,0.003339746800402367,0.0008092574313047539
2,1,1r6/pp2kppQ/4p1n1/3p2P1/1P3P2/3qP3/PP1N4/2KR3R b - - 0 28,1957,long mate mateIn3 middlegame queensideAttack sacrifice,b8c8,40,b8c8,b8c8,1,1,1,1.352299616902509,1.4762570822778418,0.12395746537533281,0.5291237533404601,0.45788893781065465,-0.07123481552980548,0.011067464788406187,0.002783476670592396
2,2,2r5/pp2kppQ/4p1n1/3p2P1/1PN2P2/3qP3/PP6/2KR3R b - - 2 29,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c8c4,43,c8c4,c8c4,1,1,1,0.5332789577001109,0.5243703434847427,-0.00890861421536826,0.8778220389713793,0.8814104213871378,0.0035883824157584288,0.0002628663902926984,6.523543845200091e-05
3,0,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,976,endgame mate mateIn2 short,c7c8,26,c7c8,c7c8,1,1,1,0.4520375465097245,0.5244480577344378,0.07241051122471331,0.9175983567878505,0.9018787990452309,-0.015719557742619572,0.0018537869093050493,0.00048092358302795606
3,1,2R1r1k1/6pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 w - - 6 34,976,endgame mate mateIn2 short,c8e8,26,c8e8,c8e8,1,1,1,9.392319173368035e-05,0.00010080895758491451,6.885765851234155e-06,0.9999934286322686,0.9999929366907554,-4.919415131920957e-07,3.402199583783239e-08,8.716614187830973e-09
