puzzle_index,agent_move_index,fen,rating,themes,expected_move_uci,legal_move_count,reference_top_move_uci,candidate_top_move_uci,top1_agreement,reference_correct,candidate_correct,reference_entropy,candidate_entropy,entropy_delta,reference_correct_probability,candidate_correct_probability,correct_probability_delta,kl_reference_to_candidate,js_divergence
0,0,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,1286,crushing kingsideAttack master middlegame pin short,f5g3,40,h3g3,h3g3,1,0,0,1.491092710795157,1.4880866784968703,-0.003006032298286776,0.17333189092281096,0.18784473059847873,0.014512839675667771,0.001946243200658002,0.0004855420656165997
0,1,6rk/pp6/2n5/3pp2p/3p4/2P2PQq/PP4NB/R5RK b - - 0 30,1286,crushing kingsideAttack master middlegame pin short,g8g3,34,g8g3,g8g3,1,1,1,0.6828933514970676,0.6891983064785133,0.006304954981445676,0.5956249777105059,0.5784844143193615,-0.017140563391144448,0.0006057922943492876,0.00015175223196749773
1,0,8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c3c2,6,c3c2,c3c2,1,1,1,0.37599880200298885,0.4066955793096313,0.030696777306642442,0.9169896994771571,0.909183070570126,-0.007806628907031099,0.0005343360010994116,0.00013682356799097587
1,1,8/7R/5p2/p7/7P/8/K1pk2N1/8 b - - 1 49,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c2c1q,11,c2c1q,a5a4,0,1,0,1.0466219067026048,1.0571512623480617,0.010529355645456873,0.4577911988365131,0.44503648416340114,-0.012754714673111955,0.0005044560076332501,0.00012726341618459137
1,2,8/3R4/5p2/p7/7P/8/K2k2N1/2q5 b - - 1 50,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,d2e2,3,d2c2,d2c2,1,0,0,0.5143170090422434,0.4998273193360224,-0.014489689706220998,0.04733920771868218,0.0514599975089729,0.0041207897902907215,0.000972069960672341,0.00023957599216640948
2,0,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c6b4,43,d3c3,d3c3,1,0,0,0.8199389187115658,0.7785582258777051,-0.0413806928338607,0.002063656669803808,0.002028192430669332,-3.546423913447592e-05,0.0010964274586533866,0.0002701299347854843
2,1,1r6/pp2kppQ/4p1n1/3p2P1/1P3P2/3qP3/PP1N4/2KR3R b - - 0 28,1957,long mate mateIn3 middlegame queensideAttack sacrifice,b8c8,40,b8c8,b8c8,1,1,1,1.352299616902509,1.3462112501506218,-0.006088366751887175,0.5291237533404601,0.5391746419827003,0.01005088864224013,0.0006567823189583596,0.0001634027167368335
2,2,2r5/pp2kppQ/4p1n1/3p2P1/1PN2P2/3qP3/PP6/2KR3R b - - 2 29,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c8c4,43,c8c4,c8c4,1,1,1,0.5332789577001109,0.5114291432790677,-0.021849814421043168,0.8778220389713793,0.8836594326382132,0.00583739366683389,0.0003892829401065615,9.499731087201735e-05
3,0,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,976,endgame mate mateIn2 short,c7c8,26,c7c8,c7c8,1,1,1,0.4520375465097245,0.4780202540748066,0.025982707565082086,0.9175983567878505,0.9118101356264559,-0.005788221161394658,0.0003738760785490661,9.556097742265774e-05
3,1,2R1r1k1/6pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 w - - 6 34,976,endgame mate mateIn2 short,c8e8,26,c8e8,c8e8,1,1,1,9.392319173368035e-05,9.387732084083531e-05,-4.5870892845039594e-08,0.9999934286322686,0.9999934482507128,1.9618444202507135e-08,2.7931775572210622e-08,7.082554838443077e-09
