puzzle_index,agent_move_index,fen,rating,themes,expected_move_uci,legal_move_count,reference_top_move_uci,candidate_top_move_uci,top1_agreement,reference_correct,candidate_correct,reference_entropy,candidate_entropy,entropy_delta,reference_correct_probability,candidate_correct_probability,correct_probability_delta,kl_reference_to_candidate,js_divergence
0,0,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,1286,crushing kingsideAttack master middlegame pin short,f5g3,40,h3g3,h3g3,1,0,0,1.491092710795157,1.5056138015002631,0.014521090705106099,0.17333189092281096,0.17123939254797874,-0.002092498374832219,0.0008095693705424956,0.00020347278879831942
0,1,6rk/pp6/2n5/3pp2p/3p4/2P2PQq/PP4NB/R5RK b - - 0 30,1286,crushing kingsideAttack master middlegame pin short,g8g3,34,g8g3,g8g3,1,1,1,0.6828933514970676,0.6882768272921276,0.005383475795059933,0.5956249777105059,0.5774413532424295,-0.01818362446807642,0.0006965833808086222,0.00017443979644280117
1,0,8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c3c2,6,c3c2,c3c2,1,1,1,0.37599880200298885,0.41742232892591347,0.041423526922924614,0.9169896994771571,0.9033208255123305,-0.013668873964826633,0.0013127746934406305,0.00033693792145133563
1,1,8/7R/5p2/p7/7P/8/K1pk2N1/8 b - - 1 49,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c2c1q,11,c2c1q,a5a4,0,1,0,1.0466219067026048,1.0443155600607308,-0.002306346641874013,0.4577911988365131,0.424199280131374,-0.03359191870513911,0.002622061194783909,0.0006538334955404967
1,2,8/3R4/5p2/p7/7P/8/K2k2N1/2q5 b - - 1 50,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,d2e2,3,d2c2,d2c2,1,0,0,0.5143170090422434,0.5814709366761963,0.06715392763395289,0.04733920771868218,0.05873311705987948,0.0113939093411973,0.003063534773651816,0.0007845974364555641
2,0,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c6b4,43,d3c3,d3c3,1,0,0,0.8199389187115658,0.8566670073384748,0.03672808862690902,0.002063656669803808,0.0020187361856178337,-4.492048418597424e-05,0.0007270620235343781,0.00018433687906961463
2,1,1r6/pp2kppQ/4p1n1/3p2P1/1P3P2/3qP3/PP1N4/2KR3R b - - 0 28,1957,long mate mateIn3 middlegame queensideAttack sacrifice,b8c8,40,b8c8,b8c8,1,1,1,1.352299616902509,1.4576366176568014,0.10533700075429242,0.5291237533404601,0.44710836307725715,-0.08201539026320298,0.01539930258369708,0.0038772903449346106
2,2,2r5/pp2kppQ/4p1n1/3p2P1/1PN2P2/3qP3/PP6/2KR3R b - - 2 29,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c8c4,43,c8c4,c8c4,1,1,1,0.5332789577001109,0.543926025944857,0.010647068244746039,0.8778220389713793,0.8739494097375482,-0.0038726292338311374,0.0003330820308865242,8.336916406654488e-05
3,0,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,976,endgame mate mateIn2 short,c7c8,26,c7c8,c7c8,1,1,1,0.4520375465097245,0.5324761409662994,0.08043859445657486,0.9175983567878505,0.900148016927229,-0.0174503398606215,0.0024264870898907352,0.0006354348850453485
3,1,2R1r1k1/6pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 w - - 6 34,976,endgame mate mateIn2 short,c8e8,26,c8e8,c8e8,1,1,1,9.392319173368035e-05,0.00010789383404723773,1.397064231355738e-05,0.9999934286322686,0.9999923878244878,-1.040807780738895e-06,8.15382555259136e-08,2.0980955695657932e-08
