episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,93000,white,1/2-1/2,0.0,0.5,196,threefold_repetition,False
2,93001,black,0-1,1.0,1.0,14,checkmate,False
3,93002,white,1-0,1.0,1.0,59,checkmate,False
4,93003,black,1/2-1/2,0.0,0.5,200,max_plies,False
5,93004,white,1-0,1.0,1.0,95,checkmate,False
6,93005,black,1/2-1/2,0.0,0.5,124,stalemate,False
7,93006,white,1/2-1/2,0.0,0.5,94,threefold_repetition,False
8,93007,black,1/2-1/2,0.0,0.5,68,threefold_repetition,False
9,93008,white,1/2-1/2,0.0,0.5,41,threefold_repetition,False
10,93009,black,0-1,1.0,1.0,126,checkmate,False
11,93010,white,1/2-1/2,0.0,0.5,200,max_plies,False
12,93011,black,1/2-1/2,0.0,0.5,112,threefold_repetition,False
13,93012,white,1/2-1/2,0.0,0.5,100,threefold_repetition,False
14,93013,black,1/2-1/2,0.0,0.5,102,threefold_repetition,False
15,93014,white,1-0,1.0,1.0,5,checkmate,False
16,93015,black,1/2-1/2,0.0,0.5,108,threefold_repetition,False
17,93016,white,1/2-1/2,0.0,0.5,200,max_plies,False
18,93017,black,1/2-1/2,0.0,0.5,129,threefold_repetition,False
19,93018,white,0-1,-1.0,0.0,42,checkmate,False
20,93019,black,0-1,1.0,1.0,106,checkmate,False
21,93020,white,1-0,1.0,1.0,93,checkmate,False
22,93021,black,0-1,1.0,1.0,146,checkmate,False
23,93022,white,1/2-1/2,0.0,0.5,145,threefold_repetition,False
24,93023,black,0-1,1.0,1.0,92,checkmate,False
25,93024,white,1-0,1.0,1.0,87,checkmate,False
26,93025,black,1/2-1/2,0.0,0.5,153,threefold_repetition,False
27,93026,white,1-0,1.0,1.0,129,checkmate,False
28,93027,black,0-1,1.0,1.0,112,checkmate,False
29,93028,white,1/2-1/2,0.0,0.5,94,threefold_repetition,False
30,93029,black,1/2-1/2,0.0,0.5,108,threefold_repetition,False
31,93030,white,1/2-1/2,0.0,0.5,109,threefold_repetition,False
32,93031,black,1/2-1/2,0.0,0.5,160,threefold_repetition,False
33,93032,white,1-0,1.0,1.0,9,checkmate,False
