episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,93000,white,1/2-1/2,0.0,0.5,58,threefold_repetition,False
2,93001,black,0-1,1.0,1.0,102,checkmate,False
3,93002,white,1/2-1/2,0.0,0.5,141,threefold_repetition,False
4,93003,black,1/2-1/2,0.0,0.5,154,insufficient_material,False
5,93004,white,1/2-1/2,0.0,0.5,96,threefold_repetition,False
6,93005,black,1/2-1/2,0.0,0.5,197,insufficient_material,False
7,93006,white,1-0,1.0,1.0,57,checkmate,False
8,93007,black,1/2-1/2,0.0,0.5,161,threefold_repetition,False
9,93008,white,1-0,1.0,1.0,177,checkmate,False
10,93009,black,1/2-1/2,0.0,0.5,106,stalemate,False
11,93010,white,1/2-1/2,0.0,0.5,200,max_plies,False
12,93011,black,1/2-1/2,0.0,0.5,200,max_plies,False
13,93012,white,1-0,1.0,1.0,29,checkmate,False
14,93013,black,0-1,1.0,1.0,76,checkmate,False
15,93014,white,1/2-1/2,0.0,0.5,97,threefold_repetition,False
16,93015,black,0-1,1.0,1.0,32,checkmate,False
17,93016,white,1/2-1/2,0.0,0.5,200,max_plies,False
18,93017,black,0-1,1.0,1.0,98,checkmate,False
19,93018,white,1-0,1.0,1.0,41,checkmate,False
20,93019,black,0-1,1.0,1.0,20,checkmate,False
21,93020,white,1/2-1/2,0.0,0.5,164,threefold_repetition,False
22,93021,black,1/2-1/2,0.0,0.5,87,threefold_repetition,False
23,93022,white,1/2-1/2,0.0,0.5,86,threefold_repetition,False
24,93023,black,1/2-1/2,0.0,0.5,67,threefold_repetition,False
25,93024,white,1/2-1/2,0.0,0.5,35,threefold_repetition,False
26,93025,black,0-1,1.0,1.0,56,checkmate,False
27,93026,white,1-0,1.0,1.0,63,checkmate,False
28,93027,black,1/2-1/2,0.0,0.5,87,threefold_repetition,False
29,93028,white,1/2-1/2,0.0,0.5,173,threefold_repetition,False
30,93029,black,1/2-1/2,0.0,0.5,96,threefold_repetition,False
31,93030,white,1/2-1/2,0.0,0.5,171,insufficient_material,False
