episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,90000,white,1/2-1/2,0.0,0.5,100,max_plies,False
2,90001,black,1/2-1/2,0.0,0.5,100,max_plies,False
3,90002,white,1/2-1/2,0.0,0.5,100,max_plies,False
4,90003,black,1/2-1/2,0.0,0.5,100,max_plies,False
5,90004,white,1-0,1.0,1.0,99,checkmate,False
6,90005,black,0-1,1.0,1.0,20,checkmate,False
7,90006,white,1/2-1/2,0.0,0.5,34,threefold_repetition,False
8,90007,black,0-1,1.0,1.0,28,checkmate,False
9,90008,white,1/2-1/2,0.0,0.5,100,max_plies,False
10,90009,black,1/2-1/2,0.0,0.5,100,max_plies,False
11,90010,white,1-0,1.0,1.0,43,checkmate,False
12,90011,black,1/2-1/2,0.0,0.5,100,max_plies,False
13,90012,white,1-0,1.0,1.0,63,checkmate,False
14,90013,black,1/2-1/2,0.0,0.5,100,max_plies,False
15,90014,white,1-0,1.0,1.0,89,checkmate,False
16,90015,black,1/2-1/2,0.0,0.5,54,threefold_repetition,False
17,90016,white,1-0,1.0,1.0,39,checkmate,False
18,90017,black,0-1,1.0,1.0,18,checkmate,False
19,90018,white,1/2-1/2,0.0,0.5,35,threefold_repetition,False
20,90019,black,1/2-1/2,0.0,0.5,78,threefold_repetition,False
21,90020,white,1/2-1/2,0.0,0.5,100,max_plies,False
22,90021,black,1/2-1/2,0.0,0.5,100,max_plies,False
23,90022,white,1/2-1/2,0.0,0.5,62,threefold_repetition,False
24,90023,black,1/2-1/2,0.0,0.5,89,threefold_repetition,False
25,90024,white,1/2-1/2,0.0,0.5,100,max_plies,False
26,90025,black,0-1,1.0,1.0,90,checkmate,False
27,90026,white,1/2-1/2,0.0,0.5,83,threefold_repetition,False
28,90027,black,0-1,1.0,1.0,78,checkmate,False
29,90028,white,1-0,1.0,1.0,15,checkmate,False
30,90029,black,0-1,1.0,1.0,66,checkmate,False
31,90030,white,1/2-1/2,0.0,0.5,69,threefold_repetition,False
32,90031,black,0-1,1.0,1.0,76,checkmate,False
33,90032,white,1/2-1/2,0.0,0.5,100,max_plies,False
34,90033,black,0-1,1.0,1.0,82,checkmate,False
35,90034,white,1/2-1/2,0.0,0.5,85,threefold_repetition,False
36,90035,black,0-1,1.0,1.0,74,checkmate,False
37,90036,white,1-0,1.0,1.0,61,checkmate,False
38,90037,black,0-1,1.0,1.0,16,checkmate,False
39,90038,white,1/2-1/2,0.0,0.5,100,max_plies,False
40,90039,black,1/2-1/2,0.0,0.5,80,threefold_repetition,False
41,90040,white,1/2-1/2,0.0,0.5,100,max_plies,False
42,90041,black,1/2-1/2,0.0,0.5,100,max_plies,False
43,90042,white,1/2-1/2,0.0,0.5,100,max_plies,False
44,90043,black,1/2-1/2,0.0,0.5,100,max_plies,False
45,90044,white,1-0,1.0,1.0,85,checkmate,False
46,90045,black,1/2-1/2,0.0,0.5,21,threefold_repetition,False
47,90046,white,1/2-1/2,0.0,0.5,88,threefold_repetition,False
48,90047,black,0-1,1.0,1.0,58,checkmate,False
49,90048,white,1/2-1/2,0.0,0.5,100,max_plies,False
